小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,20.9,东风,1,0,84,
23,20.0,南风,1,0,91,
00,19.6,西南风,1,0,93,
01,19.4,西南风,1,0,92,
02,19.5,南风,1,0,92,
03,19.4,南风,1,0,94,
04,19.3,西南风,1,0,94,
05,19.1,西南风,1,0,95,
06,19.2,西风,1,0,95,
07,19.3,西南风,0,0,95,
08,19.6,西南风,1,0,94,
09,21.5,西北风,1,0,86,
10,23.2,东北风,2,0,76,
11,23.9,东北风,1,0,75,
12,25.5,西南风,1,0,71,
13,27.1,南风,4,0,61,
14,27.0,南风,3,0,61,
15,27.0,东南风,3,0,59,
16,27.5,南风,2,0,58,
17,27.8,南风,2,0,59,
18,27.6,南风,3,0,57,
19,25.9,东风,2,0,66,
20,24.7,北风,1,0,72,
21,23.4,西南风,1,0,79,
22,22.2,西南风,1,0,84,
