小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,20.0,西风,1,0,83,
22,19.8,南风,2,0,83,
23,19.9,西南风,2,0,84,
00,19.7,南风,2,0,85,
01,19.7,西南风,3,0,86,
02,19.8,西南风,4,0,85,
03,19.3,南风,3,0,89,
04,19.3,南风,2,0,89,
05,19.3,南风,2,0,89,
06,18.9,南风,2,0.1,93,
07,19.2,南风,3,0.3,91,
08,19.9,南风,3,0.1,87,
09,20.4,南风,3,0,85,
10,20.6,南风,3,0,84,
11,21.3,南风,4,0,82,
12,21.1,南风,3,0,82,
13,22.3,南风,4,0,77,
14,23.5,南风,4,0,71,
15,24.1,南风,3,0,67,
16,23.9,西南风,3,0,68,
17,23.7,南风,3,0,69,
18,23.3,南风,3,0,71,
19,23.1,西南风,3,0,72,
20,22.9,南风,4,0,72,
21,22.7,南风,3,0,74,
