小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.9,南风,1,0,89,
22,18.6,东南风,1,0,93,
23,18.7,南风,2,0,94,
00,18.8,南风,2,0,92,
01,19.0,南风,2,0,90,
02,18.8,南风,3,0,92,
03,18.6,南风,3,0,96,
04,18.6,南风,3,0,94,
05,18.7,南风,2,0,93,
06,18.6,西南风,2,0,95,
07,18.9,南风,3,0,91,
08,19.7,南风,3,0,85,
09,20.1,南风,3,0,84,
10,20.0,南风,3,0,86,
11,20.4,南风,3,0,84,
12,21.4,南风,3,0,79,
13,23.2,南风,4,0,70,
14,23.8,南风,3,0,67,
15,24.4,南风,4,0,62,
16,23.9,东南风,3,0,71,
17,23.2,东南风,2,0,75,
18,22.7,东南风,2,0,75,
19,22.2,东南风,2,0,77,
20,21.7,东南风,3,0,79,
21,21.7,南风,2,0,78,
