小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,20.1,西风,1,0,88,
23,20.1,南风,2,0,88,
00,20.0,南风,2,0,88,
01,19.8,南风,2,0,89,
02,19.8,南风,2,0,88,
03,19.7,南风,3,0,88,
04,19.6,南风,2,0,88,
05,19.7,西风,1,0,89,
06,19.8,西南风,1,0,89,
07,19.8,西南风,1,0,89,
08,20.0,南风,1,0,91,
09,20.5,南风,2,0,87,
10,21.5,南风,3,0,82,
11,22.4,西南风,2,0,79,
12,23.7,南风,3,0,72,
13,25.1,南风,3,0,67,
14,25.9,南风,3,0,61,
15,26.1,南风,3,0,61,
16,26.1,南风,2,0,63,
17,25.9,南风,3,0,63,
18,25.2,南风,3,0,65,
19,24.3,南风,3,0,69,
20,23.6,南风,3,0,71,
21,23.2,南风,2,0,73,
22,22.7,南风,2,0,76,
