小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.8,东南风,2,0,92,
22,18.6,南风,2,0,93,
23,18.6,南风,2,0,93,
00,18.7,南风,3,0,93,
01,18.6,南风,3,0,93,
02,18.1,南风,4,0,97,
03,18.0,南风,4,0.1,97,
04,17.9,南风,4,0,98,
05,17.9,南风,4,0.2,99,
06,17.9,南风,4,0.1,99,
07,18.1,南风,4,0,98,
08,18.7,南风,3,0,95,
09,18.9,南风,4,0,94,
10,18.6,南风,3,0.1,97,
11,19.2,南风,4,0.2,95,
12,21.4,南风,4,0,84,
13,23.1,南风,4,0,77,
14,23.6,南风,4,0,71,
15,24.2,南风,4,0,68,
16,24.1,南风,3,0,71,
17,24.0,南风,3,0,72,
18,23.1,东南风,3,0,78,
19,22.4,东南风,3,0,79,
20,22.1,南风,4,0,78,
21,21.9,南风,3,0,78,
