小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.5,东风,1,0,90,
22,18.9,东风,1,0,86,
23,18.4,西风,1,0,91,
00,18.3,东南风,1,0.1,90,
01,19.5,西南风,2,0,81,
02,19.6,西南风,1,0,80,
03,19.4,北风,1,0,81,
04,19.5,西风,2,0,81,
05,19.1,西风,1,0,83,
06,19.4,西南风,1,0,79,
07,19.5,西南风,1,0,78,
08,20.4,东南风,1,0,77,
09,20.9,西南风,2,0,75,
10,21.5,西南风,2,0,71,
11,22.3,西南风,2,0,65,
12,23.0,西风,2,0,66,
13,24.4,西风,2,0,61,
14,24.7,西南风,2,0,60,
15,25.1,西南风,2,0,60,
16,26.4,西南风,1,0,59,
17,25.1,西南风,2,0,58,
18,24.9,南风,2,0,61,
19,23.4,东南风,2,0,70,
20,22.8,东南风,2,0,73,
21,22.4,东南风,2,0,74,
