小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,16.9,西南风,1,1.6,92,
22,15.6,东风,1,4.7,97,
23,15.7,东北风,1,0.5,97,
00,16.3,南风,2,0,86,
01,16.6,南风,2,0.1,87,
02,16.4,北风,1,0,88,
03,16.4,西南风,2,0,88,
04,16.2,西风,2,0,87,
05,15.2,北风,1,0,95,
06,14.5,东风,1,0,97,
07,14.5,西北风,0,0,97,
08,16.5,西南风,2,0,80,
09,17.4,西南风,2,0,75,
10,18.1,西南风,3,0,76,
11,19.7,西南风,3,0,67,
12,21.9,西南风,2,0,56,
13,23.8,西南风,3,0.1,50,
14,24.7,西南风,3,0,47,
15,25.2,南风,2,0,51,
16,25.7,西南风,2,0,52,
17,25.1,南风,2,0,50,
18,24.6,南风,2,0,51,
19,22.9,东南风,3,0,57,
20,21.7,南风,2,0,59,
21,20.0,西南风,1,0,69,
