小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,18.3,东北风,2,0,40,
22,20.1,东南风,3,0,37,
23,18.8,东南风,3,0,38,
00,18.3,南风,3,0,41,
01,17.3,东风,3,0,48,
02,17.0,南风,3,0,51,
03,16.6,南风,3,0,56,
04,16.6,东南风,2,0,57,
05,17.5,东南风,3,0,51,
06,17.8,南风,4,0,53,
07,18.4,南风,4,0,53,
08,19.3,南风,4,0,52,
09,19.8,南风,4,0,49,
10,21.0,南风,4,0,45,
11,21.6,南风,4,0,43,
12,21.9,南风,4,0,42,
13,22.2,南风,5,0,41,
14,22.7,南风,4,0,46,
15,20.2,东南风,3,0,62,
16,24.2,东南风,4,0,43,
17,23.6,东北风,5,0,42,
18,22.8,东南风,5,0,42,
19,21.4,南风,4,0,45,
20,16.3,南风,2,0,83,
21,15.3,南风,2,0.3,93,
