小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,17.1,南风,2,0,58,112
22,17.7,南风,2,0,61,110
23,19.2,南风,2,0,54,104
00,20.0,南风,2,0,45,90
01,20.0,南风,3,0,50,99
02,20.7,南风,3,0,42,90
03,19.8,南风,3,0,44,85
04,19.2,南风,4,0,49,79
05,18.6,南风,3,0,53,76
06,18.6,南风,3,0,55,73
07,19.4,南风,3,0,53,72
08,20.0,南风,3,0,51,71
09,20.5,南风,4,0,51,68
10,21.2,南风,4,0,49,68
11,22.1,南风,4,0,48,69
12,22.4,西南风,4,0,49,67
13,22.7,西南风,3,0,54,63
14,23.7,南风,4,0,46,60
15,25.3,南风,4,0,39,58
16,24.6,南风,4,0,42,58
17,23.4,南风,4,0,43,56
18,21.7,南风,3,0,43,55
19,20.5,南风,3,0,47,56
20,19.9,南风,3,0,53,56
21,19.1,东南风,4,0,59,
