小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,17.9,西南风,3,0,39,
22,17.5,西南风,4,0,38,
23,17.2,西南风,4,0,40,
00,16.7,西南风,4,0,44,
01,16.1,西南风,2,0,47,
02,16.1,西南风,3,0,54,
03,14.9,南风,3,0,64,
04,14.0,西南风,2,0,72,
05,13.6,南风,2,0,80,
06,14.6,西南风,2,0,82,
07,16.0,西南风,3,0,77,
08,17.6,南风,3,0,69,
09,17.6,西南风,4,0,66,
10,18.7,西南风,5,0,60,
11,18.0,西南风,5,0,63,
12,17.6,西南风,4,0,63,
13,19.3,西南风,6,0,57,
14,18.6,南风,5,0,58,
15,19.4,西南风,6,0,53,
16,18.9,南风,5,0,52,
17,18.5,南风,4,0,54,
18,17.1,南风,4,0,58,
19,16.7,南风,3,0,59,
20,15.9,南风,2,0,75,
21,14.9,南风,2,0,84,
