小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,19.6,南风,3,0,44,
21,18.5,东南风,3,0,49,
22,18.1,东南风,4,0,48,
23,17.1,南风,3,0,52,
00,16.3,南风,3,0,59,
01,15.8,南风,3,0,62,
02,16.7,东南风,4,0,61,
03,16.8,东南风,4,0,63,
04,16.8,东南风,5,0,62,
05,15.6,东南风,4,0,70,
06,15.8,东南风,5,0,72,
07,16.0,东南风,5,0,71,
08,17.1,东南风,6,0,67,
09,18.4,东南风,6,0,59,
10,19.8,东南风,6,0,56,
11,20.5,东南风,7,0,52,
12,20.9,东南风,7,0,50,
13,22.1,南风,6,0,46,
14,23.1,东南风,6,0,44,
15,23.7,东南风,6,0,44,
16,23.4,东南风,6,0,43,
17,23.2,东南风,6,0,44,
18,22.7,东南风,5,0,43,
19,21.7,东南风,5,0,44,
20,19.2,西南风,4,0,60,
