小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,19.2,东南风,2,0,28,
21,18.8,南风,2,0,31,
22,19.4,南风,2,0,34,
23,19.0,西南风,2,0,39,
00,18.1,南风,3,0,40,
01,17.6,南风,4,0,44,
02,17.7,西南风,4,0,43,
03,18.9,西南风,5,0,39,
04,17.6,西南风,4,0,47,
05,16.6,南风,5,0,55,
06,16.1,西南风,3,0,60,
07,16.3,南风,4,0,64,
08,16.2,南风,3,0,69,
09,17.3,西南风,4,0,65,
10,18.2,南风,4,0,59,
11,18.7,南风,4,0,56,
12,19.9,南风,5,0,53,
13,21.5,西南风,5,0,48,
14,22.4,南风,5,0,44,
15,22.0,西南风,5,0,41,
16,22.9,西南风,5,0,39,
17,22.6,西南风,5,0,37,
18,20.9,西南风,4,0.1,44,
19,16.8,西南风,5,1.1,70,
20,15.4,西南风,5,0.7,81,
