小时,温度,风力方向,风级,降水量,相对湿度,空气质量
18,21.2,西风,2,0.5,95,
19,21.0,西风,2,0.3,95,
20,20.8,西风,2,0.6,95,
21,20.7,西风,1,0.3,96,
22,20.4,西风,2,0.2,95,
23,20.2,西风,2,0.1,94,
00,19.8,西风,2,0,92,
01,19.5,西风,2,0.2,94,
02,19.3,西风,2,0,95,
03,19.0,西风,2,0,95,
04,18.7,西风,2,0.1,94,
05,18.5,西风,2,0.2,94,
06,18.5,西风,2,0,89,
07,18.5,西风,2,0,90,
08,19.0,西风,2,0,86,
09,19.5,西风,2,0,85,
10,20.1,西南风,2,0,81,
11,20.3,西南风,2,0,79,
12,20.3,西南风,2,0,81,
13,20.3,西南风,2,0,82,
14,20.0,西南风,2,0,83,
15,19.8,西南风,2,0,87,
16,19.8,西南风,2,0,84,
17,20.0,西南风,2,0,83,
18,20.4,西风,2,0,80,
