小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,21.1,南风,2,0,56,
23,19.8,西风,1,0,65,
00,17.9,北风,2,0,75,
01,17.2,西北风,2,0,78,
02,16.6,西北风,2,0,81,
03,16.1,西北风,2,0,82,
04,15.9,西北风,2,0,81,
05,15.6,西北风,2,0,81,
06,15.6,西北风,2,0,80,
07,16.9,西北风,2,0,75,
08,19.7,西北风,2,0,66,
09,22.6,西北风,2,0,57,
10,24.9,南风,2,0,52,
11,25.4,西南风,3,0,49,
12,26.5,西南风,3,0,48,
13,27.6,西南风,3,0,41,
14,28.5,南风,3,0,43,
15,29.1,南风,3,0,40,
16,29.5,南风,2,0,40,
17,29.4,南风,2,0,39,
18,27.6,北风,3,0,46,
19,19.2,西风,2,7.1,84,
20,18.9,西风,2,2.6,89,
21,19.3,西风,2,0.6,91,
22,19.3,西南风,3,0,84,
