小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,20.7,南风,0,0,71,
23,19.8,北风,1,0,75,
00,18.5,北风,1,0,80,
01,17.9,东北风,1,0,82,
02,17.4,西北风,1,0,83,
03,17.1,西北风,0,0,89,
04,17.1,南风,1,0,90,
05,16.6,东北风,1,0,90,
06,16.2,东南风,1,0,92,
07,17.2,西北风,0,0,89,
08,18.6,南风,1,0,81,
09,20.7,南风,1,0,74,
10,23.0,东南风,1,0,69,
11,25.3,东风,1,0,60,
12,26.2,东风,1,0,57,
13,27.4,南风,1,0,59,
14,27.9,东风,1,0,57,
15,28.1,东风,2,0,52,
16,27.7,东南风,2,0,56,
17,26.9,东南风,2,0,57,
18,26.3,东南风,1,0,60,
19,24.9,东风,1,0,65,
20,23.2,东风,1,0,72,
21,22.4,东北风,1,0,74,
22,21.6,西北风,1,0,76,
