小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,19.2,北风,1,0,93,
23,19.0,北风,1,0,93,
00,18.7,北风,1,0,92,
01,18.6,北风,1,0,89,
02,18.5,北风,1,0,89,
03,18.1,东北风,1,0,90,
04,17.9,南风,1,0,92,
05,17.8,东南风,1,0,93,
06,17.5,北风,1,0,95,
07,17.7,东北风,0,0,95,
08,18.5,北风,1,0,88,
09,19.2,东北风,0,0,86,
10,20.2,西南风,1,0,85,
11,21.8,西南风,2,0,76,
12,23.8,西南风,2,0,67,
13,25.4,南风,2,0,63,
14,25.7,南风,2,0,60,
15,24.5,东南风,2,0,69,
16,23.8,东南风,2,0,71,
17,23.7,东南风,3,0,68,
18,23.3,南风,2,0,70,
19,21.6,东南风,2,0,79,
20,20.4,东南风,2,0,83,
21,20.2,东南风,1,0,82,
22,19.4,北风,3,0,90,
