小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,20.1,南风,1,0,86,
23,19.8,南风,1,0,89,
00,19.5,西南风,1,0,89,
01,19.2,南风,1,0,89,
02,18.9,南风,1,0,91,
03,18.7,南风,1,0,91,
04,18.4,南风,1,0,91,
05,18.4,西南风,1,0,93,
06,18.1,南风,1,0,94,
07,18.1,西北风,0,0,94,
08,18.4,北风,0,0,91,
09,18.8,西北风,1,0,88,
10,19.8,南风,1,0,81,
11,20.8,南风,1,0,76,
12,21.5,南风,1,0,75,
13,21.6,东风,2,0,73,
14,20.6,东风,2,0,81,
15,20.4,东北风,1,0,84,
16,21.0,北风,1,0,80,
17,21.0,东风,1,0,81,
18,21.2,东南风,1,0,84,
19,21.5,东南风,1,0.1,81,
20,20.5,东风,2,0,86,
21,19.4,东北风,1,0,91,
22,18.8,西北风,0,0,93,
