小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,17.4,南风,2,0,72,
23,17.4,西南风,2,0,73,
00,17.3,西南风,2,0,73,
01,17.0,西南风,2,0,75,
02,16.9,西南风,2,0,75,
03,16.8,西南风,3,0,75,
04,16.8,南风,2,0,76,
05,16.7,西南风,2,0,77,
06,16.4,西南风,2,0,80,
07,16.5,西南风,2,0,80,
08,17.2,西南风,2,0,79,
09,19.6,西南风,2,0,72,
10,21.1,西风,3,0,63,
11,21.7,西风,2,0,65,
12,22.4,西南风,2,0,62,
13,22.1,西南风,2,0,63,
14,21.0,西南风,2,0,68,
15,18.2,南风,1,0.8,94,
16,18.1,西风,1,1.5,99,
17,17.9,东北风,1,1.3,100,
18,17.5,东北风,0,4,100,
19,17.2,南风,1,4.6,100,
20,16.9,北风,0,2.3,100,
21,16.8,南风,2,0.9,100,
22,16.8,南风,1,0.2,100,
