小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,17.5,东南风,1,0,71,
23,15.5,西风,1,0,81,
00,13.9,东风,0,0,87,
01,13.2,北风,1,0,91,
02,12.9,东北风,1,0,91,
03,12.1,北风,1,0,94,
04,11.6,北风,2,0,95,
05,11.2,北风,2,0,96,
06,11.0,北风,2,0,96,
07,12.0,西北风,1,0,93,
08,14.7,东北风,1,0,87,
09,19.0,东北风,1,0,68,
10,21.1,南风,2,0,62,
11,23.8,南风,2,0,54,
12,26.1,西风,2,0,42,
13,28.8,东北风,3,0,29,
14,29.2,东北风,3,0,24,
15,28.8,北风,3,0,24,
16,27.6,东北风,3,0,29,
17,26.6,东北风,4,0,32,
18,24.2,北风,4,0,37,
19,22.9,北风,4,0,39,
20,21.5,南风,4,0,42,
21,20.8,北风,2,0,46,
22,19.5,北风,1,0,53,
