小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,23.5,东南风,2,0,42,
21,22.0,南风,1,0,47,
22,21.3,东南风,1,0,50,
23,20.3,西南风,1,0,53,
00,19.5,西风,1,0,55,
01,18.8,西南风,1,0,58,
02,17.6,西风,1,0,64,
03,16.2,西风,1,0,70,
04,15.1,东风,1,0,75,
05,14.3,东风,1,0,79,
06,13.6,东风,1,0,81,
07,14.4,西风,1,0,79,
08,17.3,西北风,1,0,71,
09,20.4,西风,2,0,58,
10,22.4,西北风,2,0,52,
11,24.1,西风,2,0,46,
12,25.7,西风,2,0,42,
13,25.7,北风,3,0,27,
14,26.9,北风,2,0,26,
15,26.4,西北风,4,0,23,
16,25.6,北风,3,0,24,
17,25.3,西北风,3,0,24,
18,22.9,西北风,2,0,29,
19,22.7,西北风,3,0,29,
20,21.4,西北风,2,0,29,
