小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,24.8,南风,3,0,40,
23,24.0,南风,3,0,44,
00,23.3,南风,2,0,47,
01,22.7,南风,2,0,49,
02,21.6,南风,2,0,53,
03,20.7,南风,1,0,57,
04,19.0,西风,1,0,65,
05,18.1,西风,1,0,69,
06,17.1,北风,0,0,78,
07,18.1,东北风,1,0,72,
08,20.6,西南风,1,0,60,
09,23.1,西南风,2,0,50,
10,24.3,南风,2,0,46,
11,26.6,东南风,2,0,41,
12,27.7,南风,2,0,38,
13,29.2,西北风,2,0,34,
14,24.5,北风,2,0,44,
15,26.6,东北风,2,0,41,
16,27.8,西北风,3,0,21,
17,27.1,北风,3,0,23,
18,25.9,西北风,2,0,24,
19,25.3,北风,3,0,23,
20,23.6,北风,3,0,23,
21,21.7,北风,3,0,21,
22,20.4,北风,3,0,16,
