小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,21.7,东南风,3,0,54,
23,20.9,东南风,3,0,56,
00,20.5,东南风,2,0,53,
01,19.8,东南风,3,0,55,
02,18.9,南风,2,0,59,
03,18.2,东南风,2,0,62,
04,17.8,东南风,2,0,64,
05,16.7,东南风,2,0,70,
06,16.3,东南风,1,0,72,
07,17.0,东南风,2,0,71,
08,19.2,东南风,1,0,66,
09,21.9,东南风,2,0,57,
10,23.4,东南风,1,0,49,
11,25.9,北风,2,0,45,
12,25.5,西北风,3,0,44,
13,25.0,西北风,4,0,31,
14,27.3,北风,5,0,28,
15,25.7,西北风,5,0,24,
16,24.5,西北风,4,0,25,
17,23.3,西北风,5,0,29,
18,22.9,西北风,5,0,28,
19,21.7,西北风,5,0,29,
20,19.9,西北风,5,0,30,
21,18.2,北风,4,0,25,
22,16.9,西北风,4,0,18,
