小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,21.2,南风,3,0,51,
23,20.5,南风,3,0,54,
00,19.9,南风,2,0,55,
01,18.9,南风,3,0,59,
02,18.0,南风,3,0,62,
03,17.3,南风,2,0,65,
04,16.7,南风,3,0,67,
05,16.5,南风,2,0,68,
06,15.8,南风,2,0,71,
07,16.8,南风,2,0,69,
08,18.5,南风,2,0,64,
09,18.9,西风,2,0,63,
10,19.9,西风,2,0,61,
11,20.5,西风,2,0,56,
12,21.7,东北风,1,0,51,
13,23.8,西北风,2,0,37,
14,23.0,西北风,4,0,27,
15,22.0,西北风,5,0,29,
16,21.5,北风,4,0,33,
17,21.8,西北风,3,0,32,
18,20.2,西北风,4,0,32,
19,18.1,北风,4,0,30,
20,15.7,北风,4,0,21,
21,14.9,北风,3,0,15,
22,13.5,北风,3,0,15,
