小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,23.5,南风,3,0,41,
22,22.7,南风,4,0,44,
23,21.8,东南风,4,0,47,
00,21.1,南风,4,0,51,
01,20.1,南风,4,0,55,
02,19.5,南风,3,0,59,
03,18.7,南风,2,0,62,
04,17.8,南风,1,0,66,
05,17.1,西北风,2,0,68,
06,15.7,东风,1,0,74,
07,16.8,东南风,1,0,72,
08,18.9,南风,2,0,62,
09,20.9,南风,2,0,56,
10,22.1,西北风,2,0,49,
11,22.9,西北风,2,0,41,
12,23.2,北风,2,0,39,
13,24.6,西北风,4,0,23,
14,23.2,西北风,5,0,27,
15,22.8,西北风,5,0,27,
16,22.3,西北风,5,0,29,
17,22.8,西北风,5,0,29,
18,22.3,西北风,4,0,28,
19,20.7,西北风,4,0,27,
20,17.9,南风,5,0,22,
21,15.9,北风,4,0,18,
