小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,21.2,南风,3,0,49,
23,20.5,南风,3,0,51,
00,20.6,南风,3,0,52,
01,20.2,南风,3,0,55,
02,19.3,南风,3,0,58,
03,18.5,东南风,2,0,60,
04,17.5,南风,2,0,63,
05,17.2,南风,2,0,64,
06,16.7,南风,2,0,67,
07,17.7,南风,2,0,66,
08,19.0,南风,2,0,61,
09,19.3,南风,2,0,61,
10,19.7,南风,2,0,62,
11,20.7,南风,2,0,60,
12,22.3,南风,2,0,55,
13,20.6,西北风,3,0,42,
14,24.0,西北风,3,0,27,
15,22.5,北风,4,0,32,
16,22.2,西北风,4,0,25,
17,21.5,西北风,5,0,25,
18,19.6,北风,5,0,22,
19,17.8,西北风,4,0,16,
20,16.4,北风,4,0,14,
21,14.9,北风,3,0,15,
22,14.0,北风,3,0,15,
