小时,温度,风力方向,风级,降水量,相对湿度,空气质量
22,16.0,东南风,1,0,100,
23,15.9,东风,1,0.1,100,
00,15.8,东南风,1,0,100,
01,15.6,东风,1,0.4,100,
02,15.4,东北风,0,0.1,100,
03,15.3,东风,2,1.5,100,
04,15.1,东风,1,0.6,100,
05,15.1,东风,1,0.1,100,
06,15.0,东北风,0,0,100,
07,15.2,西北风,1,0,100,
08,15.4,东北风,1,0.1,100,
09,15.7,东南风,1,0.1,100,
10,16.5,东风,1,0,100,
11,17.4,西北风,1,0,100,
12,18.4,东北风,1,0,100,
13,20.5,南风,1,0,86,
14,24.3,东风,1,0.1,61,
15,24.1,西风,1,0,60,
16,23.3,北风,1,0,68,
17,23.6,南风,2,0,70,
18,23.4,西南风,2,0,68,
19,21.6,西风,1,0,79,
20,20.1,东风,1,0,85,
21,18.3,东风,1,0,99,
22,17.3,东风,1,0,100,
