小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,20.1,南风,1,0,63,
22,19.4,西北风,0,0,66,
23,18.8,南风,1,0,69,
00,18.0,西南风,1,0,72,
01,15.8,西风,1,0,86,
02,14.6,西南风,1,0,91,
03,13.8,西南风,1,0,92,
04,13.0,西风,1,0,94,
05,12.7,南风,0,0,94,
06,12.6,东风,0,0,93,
07,16.3,西风,1,0,91,
08,21.5,西南风,1,0,61,
09,22.9,西南风,2,0,55,
10,23.9,西南风,2,0,53,
11,24.6,南风,2,0,48,
12,25.6,南风,2,0,44,
13,26.3,南风,3,0,43,
14,27.0,西南风,3,0,42,
15,27.3,南风,3,0,44,
16,27.6,南风,2,0,42,
17,27.4,南风,2,0,43,
18,20.0,西南风,1,4,80,
19,19.3,东北风,2,0.4,82,
20,18.8,西南风,2,0,90,
21,19.5,西南风,2,0,85,
