小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,8.9,东风,2,0,37,
22,7.3,东风,2,0,39,
23,6.7,东风,2,0,39,
00,5.8,东风,2,0,41,
01,5.4,东风,2,0,43,
02,4.8,东风,2,0,48,
03,4.6,东南风,2,0,57,
04,4.6,东北风,2,0,60,
05,4.5,东南风,2,0,62,
06,4.5,东风,3,0,66,
07,4.7,北风,1,0,69,
08,5.6,东南风,1,0,63,
09,2.4,西北风,3,0,89,
10,1.2,北风,4,0.3,91,
11,0.8,西北风,3,2.2,95,
12,1.2,西北风,3,5.2,92,
13,1.6,西北风,3,1,91,
14,2.7,北风,3,0.6,89,
15,3.4,东北风,2,0,85,
16,4.1,东北风,3,0,79,
17,4.4,东北风,2,0,80,
18,3.1,东北风,4,0,85,
19,2.7,东北风,3,0,84,
20,2.2,东北风,2,0,85,
21,1.2,东北风,2,0,90,
