小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,13.3,西南风,2,0,35,
21,11.8,南风,2,0,40,
22,10.3,南风,3,0,44,
23,9.1,南风,3,0,49,
00,9.2,西南风,2,0,49,
01,9.5,南风,3,0,48,
02,7.4,东南风,1,0,51,
03,7.4,西风,1,0,57,
04,7.4,南风,3,0,57,
05,7.7,南风,1,0,57,
06,8.4,南风,1,0,57,
07,13.6,西南风,3,0,43,
08,12.5,西北风,2,0.2,66,
09,12.6,东北风,3,0,67,
10,12.7,东南风,2,0,59,
11,14.0,东风,3,0,52,
12,13.6,东风,3,0,52,
13,13.1,东风,2,0.1,63,
14,11.7,东南风,3,0.3,68,
15,11.4,东南风,2,0,71,
16,10.0,东风,3,0.1,83,
17,9.3,东南风,3,0.8,86,
18,8.8,东风,3,1.2,90,
19,8.5,东风,3,0.9,92,
20,8.5,东南风,3,0.5,93,
