小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,2.7,南风,1,0,54,
22,0.8,东南风,1,0,61,
23,-0.8,南风,1,0,69,
00,-0.7,东北风,1,0,68,
01,-1.5,东风,0,0,74,
02,-2.2,东南风,1,0,79,
03,-2.0,南风,1,0,76,
04,-2.1,西南风,1,0,78,
05,-1.7,东风,0,0,79,
06,0.7,东南风,1,0,68,
07,4.9,南风,1,0,52,
08,7.9,南风,1,0,47,
09,11.9,东南风,2,0,36,
10,14.8,东南风,3,0,24,
11,14.8,南风,2,0,26,
12,15.2,东南风,2,0,25,
13,16.4,东南风,2,0,23,
14,16.5,东南风,3,0,21,
15,16.0,东南风,2,0,22,
16,16.1,东风,2,0,23,
17,15.9,东风,3,0,23,
18,15.0,东南风,2,0,28,
19,13.5,东南风,2,0,32,
20,12.5,东南风,2,0,37,
21,11.7,东风,1,0,41,
