小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,14.1,西风,2,0,37,
21,12.6,西风,1,0,39,
22,11.1,西南风,1,0,44,
23,10.3,东风,1,0,45,
00,8.7,东北风,2,0,46,
01,7.2,东南风,1,0,51,
02,7.1,东风,1,0,54,
03,6.4,东风,2,0,61,
04,6.1,东风,2,0,58,
05,6.2,东风,1,0,58,
06,8.1,东南风,1,0,56,
07,11.3,东风,1,0,47,
08,12.1,南风,2,0,44,
09,14.4,南风,3,0,39,
10,15.6,东南风,3,0,42,
11,15.5,东风,2,0,42,
12,14.3,南风,4,0,45,
13,11.7,东南风,4,0,60,
14,11.6,东风,3,0.2,61,
15,10.7,东风,2,0.4,72,
16,10.3,东南风,3,0.2,74,
17,9.5,东风,3,0.7,77,
18,8.7,东风,3,2,83,
19,8.3,东风,3,1.1,86,
20,8.3,东风,3,2.2,87,
