小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,13.8,西南风,1,0,27,
21,12.3,西南风,1,0,32,
22,10.7,东南风,1,0,38,
23,9.2,西南风,1,0,43,
00,8.5,东南风,1,0,48,
01,7.9,南风,2,0,55,
02,7.9,南风,2,0,54,
03,8.3,南风,1,0,51,
04,8.6,南风,2,0,48,
05,10.1,南风,2,0,42,
06,12.3,南风,2,0,33,
07,15.1,南风,2,0,28,
08,17.3,南风,3,0,24,
09,18.1,南风,2,0,25,
10,17.9,西南风,3,0,26,
11,17.3,南风,2,0,28,
12,17.1,南风,2,0,31,
13,17.6,南风,2,0,32,
14,16.9,南风,2,0,38,
15,15.6,南风,3,0,41,
16,14.2,南风,3,0,48,
17,13.8,南风,3,0,50,
18,12.7,南风,3,0,54,
19,11.9,南风,3,0,61,
20,11.6,南风,2,0,63,
