小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,11.7,西南风,1,0,54,
22,10.3,西南风,1,0,65,
23,10.4,西南风,1,0,63,
00,9.0,南风,1,0,60,
01,10.5,南风,1,0,61,
02,13.0,南风,2,0,45,
03,13.3,东南风,2,0,43,
04,15.7,南风,4,0,41,
05,13.7,北风,2,0.1,51,
06,12.0,东北风,2,0.1,67,
07,12.7,东风,3,0,58,
08,12.8,东风,3,0,59,
09,12.8,东南风,1,0.1,60,
10,12.4,东风,2,0.1,62,
11,11.1,东风,3,0.2,76,
12,9.8,东风,2,2,92,
13,10.0,东风,3,0.3,95,
14,9.9,东风,3,1.4,94,
15,9.7,东风,3,2,97,
16,9.8,东风,4,3.3,97,
17,10.2,东风,3,0.2,96,
18,10.5,东风,4,0.1,95,
19,10.8,东风,4,0.1,94,
20,10.9,东风,4,0,93,
21,10.8,东风,4,0.3,94,
