小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,14.0,西南风,1,0,43,
21,12.0,东风,1,0,49,
22,10.0,东风,1,0,56,
23,9.5,西南风,1,0,63,
00,9.9,西南风,1,0,65,
01,9.5,东北风,1,0,64,
02,10.3,西南风,1,0,58,
03,10.1,东北风,1,0,60,
04,10.4,东北风,2,0,56,
05,10.6,东北风,2,0,56,
06,11.1,东北风,2,0,53,
07,12.2,东北风,2,0,46,
08,12.7,东北风,2,0,56,
09,12.3,东风,2,0.1,62,
10,10.5,东风,3,0.6,81,
11,10.0,东风,2,0.8,84,
12,9.6,东风,2,4.3,91,
13,9.7,东风,3,0.1,89,
14,10.0,东风,2,0.5,88,
15,10.3,东北风,2,1,90,
16,10.2,东北风,2,0.9,91,
17,10.2,东北风,2,2.1,93,
18,10.4,东北风,2,0.1,92,
19,10.4,东北风,3,0,92,
20,10.3,东北风,3,0,93,
