小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,10.9,东南风,1,0,33,
22,9.1,西北风,1,0,38,
23,8.4,西风,1,0,45,
00,7.9,北风,1,0,45,
01,7.8,北风,1,0,46,
02,7.6,西风,1,0,47,
03,7.1,南风,1,0,51,
04,6.5,西北风,1,0,53,
05,6.9,西风,1,0,50,
06,8.2,西风,1,0,49,
07,10.3,东北风,1,0,42,
08,11.6,南风,1,0,40,
09,14.3,东风,1,0,40,
10,15.9,南风,2,0,38,
11,16.2,东南风,3,0,36,
12,16.3,南风,3,0,37,
13,15.7,东南风,3,0.1,40,
14,14.5,东南风,3,0,45,
15,14.7,东风,3,0,46,
16,13.9,南风,2,0,48,
17,14.3,东风,3,0,45,
18,14.0,东风,2,0,48,
19,13.1,东风,2,0,52,
20,12.0,东北风,2,0,56,
21,12.0,东北风,3,0,55,
