小时,温度,风力方向,风级,降水量,相对湿度,空气质量
21,14.7,西风,2,0,33,
22,14.5,西风,2,0,33,
23,14.4,西风,2,0,32,
00,15.3,西南风,2,0,28,
01,15.4,西南风,2,0,28,
02,15.6,西南风,3,0,28,
03,14.9,南风,2,0,30,
04,13.7,南风,2,0,39,
05,13.3,西南风,3,0,40,
06,13.2,西风,2,0,45,
07,13.0,西南风,2,0,52,
08,12.0,南风,3,0,63,
09,11.6,南风,3,0,70,
10,11.5,南风,3,0,69,
11,10.7,南风,3,0.1,74,
12,10.7,南风,3,0.1,75,
13,10.7,南风,4,0,74,
14,10.3,南风,4,0,75,
15,10.4,南风,4,0,73,
16,10.3,南风,4,0,75,
17,10.3,南风,4,0,76,
18,9.9,东南风,3,0,81,
19,9.0,南风,4,0.1,94,
20,8.4,南风,3,4,100,
21,8.5,南风,3,9.1,100,
