小时,温度,风力方向,风级,降水量,相对湿度,空气质量
20,13.9,东风,2,0,20,24
21,12.5,东风,2,0,23,23
22,8.1,东风,1,0,36,36
23,5.9,南风,1,0,43,52
00,3.8,北风,1,0,51,52
01,2.8,北风,1,0,57,58
02,2.7,北风,1,0,67,62
03,2.2,北风,1,0,70,54
04,2.2,北风,1,0,72,37
05,3.1,北风,1,0,71,29
06,5.3,西北风,1,0,65,26
07,8.0,东北风,1,0,45,26
08,10.1,东风,2,0,39,29
09,13.7,东风,3,0,27,28
10,16.7,东风,3,0,20,26
11,16.7,东南风,3,0,20,27
12,16.9,东北风,2,0,29,30
13,19.1,东北风,3,0,20,32
14,18.8,东风,3,0,20,30
15,18.7,东风,3,0,21,31
16,18.2,东北风,3,0,24,30
17,18.1,东风,2,0,24,30
18,17.4,东风,2,0,26,30
19,15.9,东风,2,0,27,27
20,15.1,东风,2,0,25,26
